OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
25.0,2500,79.25,139,141,152,7
25.0,2750,79.25,139,141,152,7
25.0,3000,79.25,141,141,152,7
26.0,1000,47.43,108,123,138,4
26.0,1250,55.88,109,123,138,4
26.0,1500,63.38,117,128,141,4
26.0,1750,68.08,124,132,144,4
26.0,2000,72.58,130,135,147,4
26.0,2250,76.58,136,139,150,4
26.0,2500,79.24,139,141,152,6
26.0,2750,79.25,139,141,152,7
26.0,3000,79.25,141,141,152,7
27.0,1000,47.48,108,123,138,4
27.0,1250,55.56,109,123,138,4
27.0,1500,63.16,117,128,141,4
27.0,1750,67.86,124,132,144,4
27.0,2000,72.36,130,135,147,4
27.0,2250,76.36,136,139,150,4
27.0,2500,79.23,139,141,152,6
27.0,2750,79.25,139,141,152,7
27.0,3000,79.25,141,141,152,7
28.0,1000,47.54,108,123,138,4
28.0,1250,55.24,108,123,138,4
28.0,1500,62.94,116,127,140,4
28.0,1750,67.64,123,131,143,4
28.0,2000,72.14,129,135,146,4
28.0,2250,76.14,135,138,149,4
28.0,2500,79.22,140,141,152,5
28.0,2750,79.25,140,141,152,7
28.0,3000,79.25,141,141,152,7
29.0,1000,47.6,108,123,138,4
29.0,1250,54.92,108,123,138,4
29.0,1500,62.72,116,127,140,4
29.0,1750,67.42,123,131,143,4
29.0,2000,71.92,129,135,146,4
29.0,2250,75.92,135,138,149,4
29.0,2500,79.21,140,141,152,5
29.0,2750,79.25,140,141,152,7
29.0,3000,79.25,141,141,152,7
30.0,1000,47.65,108,123,138,4
30.0,1250,54.6,108,123,138,4
30.0,1500,62.5,116,127,140,4
30.0,1750,67.2,123,131,143,4
30.0,2000,71.7,129,135,146,4
30.0,2250,75.7,135,138,149,4
30.0,2500,79.2,140,141,152,4
30.0,2750,79.25,140,141,152,7
30.0,3000,79.25,141,141,152,7
31.0,1000,47.71,108,123,138,4
31.0,1250,53.92,108,123,138,4
31.0,1500,62.06,116,127,140,4
31.0,1750,66.82,123,131,143,4
31.0,2000,71.28,129,135,146,4
31.0,2250,75.24,135,138,149,4
31.0,2500,78.7,140,141,152,4
31.0,2750,79.25,140,141,152,7
31.0,3000,79.25,141,141,152,7
32.0,1000,47.76,108,123,138,4
32.0,1250,53.24,108,123,138,4
32.0,1500,61.62,116,126,140,4
32.0,1750,66.44,123,130,143,4
32.0,2000,70.86,129,134,146,4
32.0,2250,74.78,134,137,149,4
32.0,2500,78.2,139,140,151,4
32.0,2750,79.25,140,141,152,7
32.0,3000,79.25,141,141,152,7
33.0,1000,47.82,108,123,138,4
33.0,1250,52.56,108,123,138,4
33.0,1500,61.18,115,126,139,4
33.0,1750,66.06,122,130,142,4
33.0,2000,70.44,128,134,145,4
33.0,2250,74.32,134,137,148,4
33.0,2500,77.7,139,140,151,4
33.0,2750,79.25,141,141,152,7
33.0,3000,79.25,141,141,152,7
34.0,1000,47.87,108,123,138,4
34.0,1250,51.88,108,123,138,4
34.0,1500,60.74,115,125,139,4
34.0,1750,65.68,122,129,142,4
34.0,2000,70.02,128,133,145,4
34.0,2250,73.86,133,136,148,4
34.0,2500,77.2,138,139,150,4
34.0,2750,79.25,141,141,152,7
34.0,3000,79.25,141,141,152,7
